source_id,source_name,catalog,ra_deg,dec_deg,gaia_g_mag,gaia_bp_rp,parallax_mas,parallax_error_mas,x,y,aperture_radius,annulus_inner_radius,annulus_outer_radius,flux_red,flux_green,flux_blue,flux_luminance,flux_error_red,flux_error_green,flux_error_blue,flux_error_luminance,instrumental_mag_red,instrumental_mag_green,instrumental_mag_blue,instrumental_mag_luminance,instrumental_blue_minus_red,calibrated_mag_luminance,absolute_magnitude_proxy,plot_color_index,display_color_hex,snr_red,snr_green,snr_blue,snr_luminance,background_red,background_green,background_blue,background_luminance,is_saturated,used_for_zero_point,flags
3029206452090564480,3029206452090564480,gaia-dr3,115.28473184013,-14.85762854328,9.41166,0.060519,0.7338,0.02889999933540821,1388.6942216218881,880.9390479682995,5.0,8.0,12.0,1409876.3372834404,1898372.8845446391,2213132.6669596955,1840139.3977484948,1628.367952799107,2091.9477803517225,2537.509940390036,2039.055481113388,-15.37295255399541,-15.69595380499442,-15.862518621579975,-15.66212680939863,-0.48956606758456545,9.758270437018679,-0.9138410258816752,0.060519,#a2dbff,865.8217172967037,907.4666692805605,872.1670925235939,902.4469489882252,401.9924469210673,508.6866501707118,631.7673679045402,518.2388725772034,False,True,
3029154263949594112,3029154263949594112,gaia-dr3,115.46479807106,-14.99189556251,9.408904,0.060502,2.085,0.03229999914765358,1731.6498853043272,1255.8878872165963,5.0,8.0,12.0,1344253.9707845964,1788414.3776858766,2226347.8625148246,1786831.9769963417,1568.9928477554813,2014.7754307577702,2786.17430047708,2061.809659220764,-15.321203320027983,-15.631170381636457,-15.868982557417507,-15.63020928991812,-0.5477792373895234,9.790187956499189,1.3857182530480703,0.060502,#9acdff,856.7623317771113,887.6494870762059,799.0698435965058,866.6328479960916,384.18560498859733,493.71173524064943,616.580557404086,491.87917246483266,False,True,
3029213289678476672,3029213289678476672,gaia-dr3,115.34800863147,-14.76492962547,10.26361,0.380277,0.6004,0.026100000366568565,1187.1073173149664,1039.4281339752342,5.0,8.0,12.0,830199.3370262225,1103172.4760641586,1328425.4440677143,1087209.2775879155,1065.1694054124423,1269.8279180582447,1516.799052292976,1273.7549410599388,-14.797955955568284,-15.106608544353099,-15.308342963221431,-15.090782874368227,-0.5103870076531472,10.329614372049083,-0.7781822100947533,0.380277,#9fd4ff,779.4059168501583,868.7574594761414,875.8084612853011,853.5466615605104,273.2780413480941,307.491340697743,344.9878083332442,309.30478958878666,False,True,
3029148422794044672,3029148422794044672,gaia-dr3,115.56031495556,-15.1116894809,10.219543,0.249511,0.7944,0.02419999986886978,2025.686211255079,1445.3427435078586,5.0,8.0,12.0,865256.7740704704,1192377.0457294686,1478881.3194966102,1179145.9993390609,1130.751126853866,1391.0152450405558,1728.612349618156,1405.1649393351358,-14.842862520146298,-15.191034017258866,-15.424833307954005,-15.17891895459886,-0.5819707878077072,10.24147829181845,-0.25832553074492637,0.249511,#95ceff,765.2053166446173,857.1991212754136,855.5309233000039,839.1513098077885,268.58942270628177,322.8438896359876,367.42270769784227,315.70193928899243,False,True,
3029192295875357056,3029192295875357056,gaia-dr3,115.02116475372,-14.96768157098,10.274872,0.158475,0.8784,0.02319999970495701,1593.3112698842356,273.7135416876604,5.0,8.0,12.0,804557.9860604671,1145119.9258776763,1430296.0930531789,1126993.8596350462,1019.5170414633681,1256.1575021077992,1555.6373487504882,1253.3906412777721,-14.763893375029733,-15.147127429396187,-15.388564880844473,-15.129803874556524,-0.6246715058147405,10.290593371860785,0.009055007390868397,0.158475,#8fccff,789.1559957699593,911.6053711068837,919.4277150789769,899.1561150369924,246.923539317213,290.3894898388535,342.7838319540024,289.0893438656349,False,True,
3029139661062114944,3029139661062114944,gaia-dr3,115.92943302154,-15.1100193488,9.01788,1.225799,1.0162,0.017799999564886093,2092.6267536113014,2266.609886065877,5.0,8.0,12.0,1842017.324763969,1861151.1026867523,1751573.141973575,1818998.264875973,2554.057425484602,2342.6588073530665,2590.6368592685485,2435.481225040873,-15.663234276397473,-15.674454084894476,-15.608570693118416,-15.649580711986431,0.05466358327905674,9.770816534430878,-0.1942875126977377,1.225799,#fcfff0,721.2121804248267,794.4610187557093,676.1168149472411,746.8742711598798,663.8234278326854,599.250774232205,609.3466589972377,614.5773022458889,False,True,Catalog match offset 2.71 arcsec.
3029983089560200576,3029983089560200576,gaia-dr3,115.12548158502,-14.53192693498,10.438195,0.410687,1.4806,0.01889999955892563,609.267936036599,587.9821466864552,5.0,8.0,12.0,745732.2336144618,1018983.8325501207,1149105.029329467,971196.9852494359,984.1810806232219,1164.6677161317377,1289.4196426520962,1131.8517843688655,-14.6814572887255,-15.020418233593173,-15.150899313612783,-14.968268314034592,-0.46944202488728237,10.452128932382717,1.3043176576136322,0.410687,#a5e2ff,757.7185218214468,874.9137787853489,891.1800249653185,858.0602148283816,239.03739103639964,264.55898188753054,294.7350961365737,267.08723310381174,False,True,
3029199618796992256,3029199618796992256,gaia-dr3,115.26586758983,-15.05041411761,9.220902,0.574566,4.5049,0.15299999713897705,1829.0806896845395,802.3062601817618,5.0,8.0,12.0,1676614.9855803698,1952446.7816520345,2146925.7173037324,1924048.425341295,2055.99338028062,2424.6054980198705,2791.2828746331284,2531.235276704909,-15.56108335890748,-15.726448012583528,-15.829542545739919,-15.710539995909695,-0.2684591868324393,9.709857250507614,2.9782830251626997,0.574566,#c7e8ff,815.476840373645,805.2636947522229,769.1537596618233,760.1223177665124,517.8365197079256,574.0814500395209,647.4752886174247,596.1045921780169,False,True,
3029988621478015616,3029988621478015616,gaia-dr3,115.17165897753,-14.40877484374,10.254065,0.927933,3.852,0.6711000204086304,334.2460107728398,713.0588631582009,5.0,8.0,12.0,1227700.962644465,1304715.5798858225,1298376.7305729769,1276682.1928674078,3624.5155081946136,2881.2474526012347,3102.8451731854757,3306.149222433189,-15.222731490936551,-15.288789621046506,-15.283501808723061,-15.265207002239185,-0.060770317786509764,10.155190244178124,3.0836216364406077,0.927933,#f0fffe,338.7213987272986,452.8301027070428,418.44715353296976,386.1538324419073,482.05413724528626,427.60123279178515,416.60552044864744,445.2560333837755,False,True,
3029209170811330944,3029209170811330944,gaia-dr3,115.49343489137,-14.82354607804,10.245978,0.186421,0.5844,0.021800000220537186,1349.4016657334762,1351.9848581749527,5.0,8.0,12.0,830948.6746473851,1218689.6546217843,1452585.6236385135,1167163.5841459935,1074.2593540822804,1341.3455831832891,1677.715222169865,1342.2549250908455,-14.798935498672632,-15.214732811123174,-15.405354353994532,-15.167829322446597,-0.6064188553219001,10.252567923970712,-0.9138810397179924,0.186421,#92d6ff,773.5084376875163,908.5575484056711,865.8117923969354,869.5543315417511,276.4417046215385,314.2591817630455,368.08871316025034,322.70833262242377,False,True,
